id,name,type,sex,education
Thomas,Thomas Hitzslberger,1,1,1
Tobias,Tobias Keller,1,1,2
Oliver,Oliver Schraft,1,1,2
Claus,Claus Vogt,1,1,2
Wilfried,Wilfired Porth,1,1,2
Rainer,Rainer Adrion,1,1,2
Hartmut,Hartmut Jenner,1,1,2
Franz,Franz Reiner,1,1,2
Bertram,Dr. Bertram Sugg,1,1,3
VfBAG,VfB Stuttgart 1893 AG,2,NA,NA
VfBeV,VfB Stuttgart 1893 e.V.,2,NA,NA
Daimler ,Daimler AG & Tochtergesellschaften,2,NA,NA
Bosch,Robert Bosch GmbH,2,NA,NA
Magnus,Bundesstiftung Magnus Hirschfeld,2,NA,NA
Akademie,Deutschen Akademie für Fußball-Kultur,2,NA,NA
Kommission,Kommission Clubmedien des DFL,2,NA,NA
Fair,Verein FC PlayFair!,2,NA,NA
Intesia,Intesia Group Holding GmbH,2,NA,NA
Hanns,Hanns Martin Schleyer-Stiftung,2,NA,NA
SWM,Südwestmetall,2,NA,NA
Kaercher,Alfred Kaercher SE & Co. KG.,2,NA,NA
Gerlingen,Fanclub Courage Gerlingen,2,NA,NA
11hilft,11hilft e. V.,2,NA,NA